IATI Element,Field required?,Comments
`Organisation Identifier <https://iatistandard.org/en/guidance/publishing-data/registering-and-managing-your-organisation-account/how-to-create-your-iati-organisation-identifier/>`_,Mandatory,"A unique identifier for your organisation, which is checked at the point your organisation is registered with IATI."
`Organisation Name <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/name/>`_,Mandatory,Name of the organisation whose data is being published.
`Reporting Organisation <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/reporting-org/>`_,Mandatory,Unique identifier and name of organisation reporting the activity.
`Total Budget <https://iatistandard.org/en/guidance/standard-guidance/organisation-budgets-spend/>`_,Recommended,"Annual organisation budget for development and humanitarian work, including current and future years where possible.

Include a total budget value for every year that your organisation has been publishing IATI data."
`Documents <https://iatistandard.org/en/guidance/standard-guidance/related-documents/>`_,Recommended,"This may include annual reports, strategic plans, data exclusion policies, or other documents relevant to your organisation and its work."
`Recipient Organisation Budget <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/recipient-org-budget/>`_,Optional,The annual amounts your organisation plans to disburse to each of your partner organisations.
`Recipient Country Budget <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/recipient-country-budget/>`_,Optional,"Annual, forward-looking budget for each country worked in by your organisation."
`Recipient Region Budget <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/recipient-region-budget/>`_,Optional,"Annual, forward-looking budget for each region worked in by your organisation."
`Total Expenditure <https://iatistandard.org/en/iati-standard/203/organisation-standard/iati-organisations/iati-organisation/total-expenditure/>`_,Optional,Information on your organisation's past spending on humanitarian and development work. 
